idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6c,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,ITAb1,ITAb1x,b3,b2a,b2b,b2c,b2d,b4,BMb1,BMb3,BMb4,BMb5,BMb6,BMb8a,BMb8b,BMb8c,BMb8d,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c5,c6,c7,c8a,c10,c11,c12,c15,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,BMd1a,d3a,d3b,d3c,d10,d11,d12a,d12b,d30a,d30b,e1,e2b,e6,e11,e30,h1,h3x,h4x,h5,h6x,h7x,BMh1,BMh2,BMh3,f1,f2,BMt1,BMt2,BMt3,BMt4,BMt5,g30a,k1c,k2c,k3a,k3bc,k3e,k3f,BMk3a,BMk3b,BMk3hd,BMk2,k4,BMk5,BMk6,k6,k7,k8,BMk7,k9,k10,k11,BMk9,BMk9x,k15d,k16,k17,k21,k30,h7a,j2,j3,BMj1a,BMj1b,BMj1c,BMj1_impartial_pos,BMj1_transparent_pos,BMj1_voice_pos,j6a,j7a,j10,j13,BMj3a,BMj3b,BMj3c,BMj3_parliament_pos,BMj3_natgov_pos,BMj3_locgov_pos,j30a,j30b,j30c,j30e,j30f,h30,BMj4a,BMj4b,BMj4c,BMj5,BMj5x,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l10,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2e,n2b,n2f,n2i,n2p,n2e1,n7a,BMGa22,BMGa23,a15d,a15m,a15y,a15h,a15min,gdpr1a,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,BMGa14gd,BMGa14gm,BMGa14gy,BMGa14gh,BMGa14gmin,BMGa1,BMGa2,BMGa3,BMGa4,BMGb1,BMGb2,BMGc1,BMGc2,BMGc3,BMGc4,BMGc7,BMGc8,BMGc11,BMGc12,BMGc16,BMGc17,BMGc18,BMGc19,BMGc20,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc26,BMGc27,BMGc27x,BMGc28,BMGc29,BMGd6,BMGd7,BMGd8,BMGe1,BMGe2,BMGe2u,BMGe2x,BMGe3,BMGe3u,BMGe3x,BMGe4,BMGe5,BMGe6,BMGe7,BMGa15gd,BMGa15gm,BMGa15gy,BMGa15gh,BMGa15gmin,BMGa15a1dx,BMGa12,a13,a3b,a3c,a3,d1a2,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
658549,2,2,1,1,28,1,1,7,1,8,7,2019,9,16,159,26,1,1,2,,,,,,2018,12,31,4,,42,,100,100,0,0,0,2,100,2,1,2,2,,,,,1978,5,1,1978,30,2,1,Iso 9001:2015,2,,2,,,1,0.0,2,2.0,1,0,1,Production Of Car Mechanical Components,100,550000,Five Hundred Fifty Thousand,600000,3,100,0,0,0,0.0,100,0,0,0,1,-4.0,2,2,0,2,,,2,,,2,2,2,100.0,40.0,,,,,,0,0,0,100,0,0,0,0,0,0,-7,2,2,2,1,1,2,2.0,,,,,,2,2,3.0,2,2,1,10,2,-7,-7,-7,1,3,2,2,0.0,2,2,-7,-7,-7,1,3,2,3,2,2,0,0,1,0,0,1,2,,7,7,5.0,2.0,0.0,5.0,0.0,0.0,1.0,,0,2,0,1,14,10,9,5,12,7,4,6,14,11,13,8,1,2,15,3,210000,150000.0,30000,25000,,450000.0,120000.0,100000.0,1,1,8,7,2019,10,4,1,2.0,,25.0,1.0,,,,,,,2,3,1,,,8,7,2019,9,33,2,2,,2,2,2,1,1.0,1.0,1.0,1,1.0,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,1,2,,1,2.0,,,2.0,,2,2,,400000,15000,2.0,,0.0,,,0,2,2000,,8,7,2019,9,48,,26,4,2,2,4,2899,1,1,2,0,776.2222,776.2222,776.2222,2
658550,12,2,1,1,28,1,1,15,1,26,3,2019,15,33,159,26,1,1,2,,,,,,2018,12,31,4,,42,,100,100,0,0,0,2,100,2,2,2,2,,,,,1982,5,1,1982,30,2,1,"En 1090-1 Exc3, Iso 3834-2, Soldering Visual Control V.T. Livello 2, Certificate International Coordinator Of Soldering I.W.T.",2,,2,,,1,100.0,2,2.0,1,0,1,Sheet Metal Gates For Building,60,1500000,One Million Five Hundred Thousand,1500000,3,100,0,0,0,0.0,50,50,0,1,1,-4.0,2,1,2,2,,,2,,,2,2,2,90.0,40.0,,,,,,0,50,0,50,0,0,50,0,0,0,100,2,2,2,1,1,2,1.0,,,,,,2,2,1.0,2,1,2,5,2,-7,-7,-7,1,2,3,2,0.0,2,2,-7,-7,-7,2,3,1,1,2,1,2,0,0,2,2,1,5,,15,15,10.0,5.0,4.0,6.0,0.0,0.0,3.0,,0,2,0,-7,12,7,3,9,4,8,11,6,10,2,12,13,1,14,5,15,500000,600000.0,20000,20000,,1300000.0,600000.0,1000000.0,1,1,26,3,2019,16,38,1,2.0,,30.0,1.0,,,,,,,2,2,1,,,26,3,2019,16,7,2,2,,2,2,2,2,,,2.0,1,1.0,2,2.0,2,,2,,2.0,2,2,1,2,2,2,2,1,2,2,8.0,2,,1.0,,,,2,2,,15000,12000,2.0,,-9.0,,,15000,2,10000,,26,3,2019,16,35,,26,4,2,2,4,2811,1,1,2,0,776.2222,776.2222,776.2222,2
658551,28,2,1,1,29,1,1,14,1,7,12,2018,9,48,159,29,1,1,2,,,,,,2017,12,31,4,,42,,70,100,0,0,0,1,70,2,2,2,1,2.0,2.0,2.0,2.0,1964,-9,1,1964,30,2,2,,2,,2,,,2,,2,2.0,2,0,1,Construction And Assembly Of Special Machines According To Customer Specifications. Machines For The Graphic Industry,100,1300000,One Million And Three Hundred Thousand,1000000,2,100,0,0,0,0.0,100,0,0,0,2,10.0,2,2,0,1,"The Construction, Mechanical Processing And Assembly Of Special Machines Is Always According To The Customer'S Specifications Together With The Mechanical Maintenance Of The Plants, Therefore It Varies From Time To Time","New Machines For The Graphic Industry (Elements And Groups For Rotogravure Lines, Couplers For Packaging Materials, Winders And Diverters)",1,Replacement Of An Old Machinery By A New One That Is Faster,Completely New Machinery,2,2,2,100.0,-9.0,,,,,,0,0,0,100,0,0,0,0,0,0,0,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,3,1,40,1,2,3,2,2,3,1,2,0.0,2,2,0,0,0,1,3,2,4,4,0,0,0,0,2,0,0,4,,14,14,11.0,3.0,4.0,4.0,3.0,0.0,0.0,,0,2,3,2,13,9,7,14,6,10,13,4,5,15,1,3,12,2,11,8,400000,-9.0,15000,-9,,-9.0,-9.0,-9.0,1,1,7,12,2018,10,37,1,1.0,,30.0,1.0,,,,,,,1,2,1,,,7,12,2018,10,29,2,2,,2,2,2,1,3.0,1.0,2.0,2,,2,2.0,2,,2,,2.0,1,2,1,1,1,1,2,1,1,2,3.0,1,2.0,,,2.0,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,7,12,2018,10,34,,29,4,2,2,4,2929,1,1,2,0,776.2222,776.2222,776.2222,2
658552,52,2,1,1,28,1,1,8,1,5,7,2019,10,19,159,26,1,1,2,,,,,,2018,12,31,4,,42,,100,100,0,0,0,2,100,2,1,2,2,,,,,2010,5,1,2010,30,2,1,Iso 9001:2008,2,,2,,,2,,2,2.0,1,-7,1,"Design, Production And Testing Of Steel Molds For Plastic Injection",90,5500000,Five Million Five Hundred Thousand,2900000,3,100,0,0,0,0.0,100,0,0,0,2,-4.0,2,2,-7,2,,,2,,,2,2,2,100.0,45.0,,,,,,-7,0,50,100,0,0,0,0,0,0,-7,2,2,2,1,1,2,1.0,,,,,,2,2,3.0,2,2,3,10,2,-7,-7,-7,2,1,3,2,0.0,2,2,-7,-7,-7,3,2,1,3,2,1,1,0,0,1,1,0,5,,8,8,6.0,2.0,0.0,6.0,0.0,0.0,1.0,,0,2,2,1,14,2,12,10,5,4,9,14,8,1,13,15,6,7,3,11,250000,70000.0,8000,0,,330000.0,70000.0,50000.0,1,1,5,7,2019,10,55,1,1.0,,9.0,1.0,,,,,,,2,4,1,,,5,7,2019,10,37,2,2,,2,2,2,2,,,2.0,1,2.0,2,2.0,2,,2,,2.0,1,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,90000,0,,,0.0,,,0,2,1000,,5,7,2019,10,51,,26,4,2,2,4,2892,1,1,2,0,776.2222,776.2222,776.2222,2
658553,111,2,1,1,28,1,1,12,1,5,4,2019,16,52,159,26,1,1,2,,,,,,2018,12,31,4,,42,,100,100,0,0,0,2,0,2,1,2,2,,,,,1998,10,1,1998,15,2,1,Iso 9001,2,,2,,,1,30.0,2,2.0,1,0,1,Medium-Heavy Electro-Welded Carpentries,70,1500000,One Million Five Hundred Thousand,1500000,2,100,0,0,0,0.0,100,0,1,1,1,-4.0,2,1,2,2,,,2,,,2,2,2,90.0,40.0,,,,,,-7,50,50,50,0,0,50,0,0,0,-7,2,2,2,1,1,2,1.0,,,,,,2,2,1.0,2,-7,1,0,2,-7,-7,-7,1,2,3,2,0.0,2,2,-7,-7,-7,3,2,1,0,1,0,0,0,-7,1,0,0,1,,13,13,10.0,3.0,0.0,7.0,3.0,0.0,1.0,,0,2,1,0,13,9,7,5,12,13,1,3,10,4,6,8,2,15,11,14,50000,600000.0,12000,10000,,1000000.0,600000.0,300000.0,1,1,5,4,2019,17,31,1,2.0,,15.0,1.0,,,,,,,2,3,1,,,5,4,2019,17,27,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,100000,6000,2.0,,-9.0,,,-9,2,-9,,5,4,2019,17,30,,26,4,2,2,4,2811,1,1,2,0,776.2222,776.2222,776.2222,2
658554,133,2,1,1,28,1,1,8,1,3,7,2019,17,13,159,38,1,1,2,,,,,,2018,12,31,1,,1,,100,100,0,0,0,2,100,2,2,2,2,,,,,1979,5,1,1979,40,2,1,Iso 9001:2008,2,,2,,,2,,2,2.0,1,0,1,Production Of Precision Metal Parts For Mechanical Machinery,80,5000000,Five Million,550000,3,100,0,0,-7,,100,0,0,0,2,-4.0,2,2,-7,2,,,2,,,2,2,2,100.0,40.0,,,,,,-7,50,80,50,0,0,50,0,0,0,-7,2,2,2,1,1,2,1.0,,,,,,2,2,4.0,2,2,2,30,2,-7,-7,-7,3,2,1,2,0.0,2,2,-7,-7,-7,3,1,2,2,3,1,2,1,0,1,0,2,2,,8,8,5.0,3.0,0.0,5.0,0.0,0.0,3.0,,0,2,0,0,1,5,10,9,12,1,14,4,2,7,8,11,6,13,3,15,250000,150000.0,10000,25000,,2500000.0,150000.0,100000.0,1,1,3,7,2019,17,50,1,1.0,,40.0,1.0,,,,,,,2,4,1,,,3,7,2019,17,32,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,120000,13500,2.0,,-9.0,,,0,2,6000,,3,7,2019,17,44,,38,4,2,2,4,2899,1,1,2,0,776.2222,776.2222,776.2222,2
658555,135,2,1,1,27,1,1,8,1,19,2,2019,12,39,159,28,1,1,2,,,,,,2017,12,31,3,,3,,100,100,0,0,0,2,100,2,2,2,1,3.0,3.0,4.0,3.0,1982,6,1,1982,20,2,2,,2,,2,,,2,,2,2.0,2,1,1,"Study And Production Of Molds And Models For Third Parties, Pressing And Metals Profiling",80,480000,Four Hundred And Eighty Thousand,450000,3,50,50,0,0,0.0,50,50,2,1,2,10.0,2,2,2,1,"Manufacturing On 5 Axes And The Consequent Production Of New, More Complex And Precise Molds",Better Accuracy And Overall Quality Of The Piece,1,Use Of A New 5-Axis Machining,"Greater Precision, Production Speed And Volume Have Increased",2,2,2,90.0,70.0,,,,,,0,40,5,60,0,0,40,0,0,0,-7,2,1,2,1,2,2,1.0,,,,,,2,2,1.0,2,1,3,10,2,4,3,-7,3,2,1,1,0.0,2,2,0,0,0,3,1,2,2,2,2,1,0,0,2,2,1,2,,8,7,5.0,3.0,4.0,1.0,0.0,0.0,2.0,,0,2,2,2,10,7,13,12,1,14,15,6,4,5,9,11,3,8,10,2,170000,100000.0,-9,-9,,-9.0,-9.0,500000.0,1,1,19,2,2019,14,18,2,,,,,,,,,,,1,2,1,,,19,2,2019,14,16,2,2,,2,2,2,1,1.0,2.0,2.0,2,,2,2.0,1,2.0,2,,2.0,2,2,1,1,1,2,2,2,1,2,5.0,1,1.0,,,2.0,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,19,2,2019,14,18,,28,4,2,2,4,2731,1,1,2,0,776.2222,776.2222,776.2222,2
658556,160,2,1,1,28,1,1,8,1,5,4,2019,18,46,159,26,1,1,2,,,,,,2018,12,31,3,,3,,100,100,0,0,0,2,100,2,1,2,1,-7.0,-7.0,-7.0,-7.0,1997,5,1,1997,25,2,1,Iso 9001,2,,2,,,2,,2,2.0,2,0,1,Metal Carpentry,90,1000000,One Million,1000000,3,100,0,0,0,0.0,100,0,0,0,1,-4.0,2,1,2,2,,,2,,,2,2,2,90.0,40.0,,,,,,0,0,0,100,0,0,0,0,0,0,-7,2,2,2,2,2,2,1.0,,,,,,2,2,1.0,2,-7,2,0,2,-7,-7,-7,3,2,1,2,0.0,2,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,6,,8,8,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,0,2,0,0,-9,15,3,8,1,12,5,9,10,2,11,7,6,13,14,4,250000,400000.0,8000,10000,,700000.0,400000.0,300000.0,1,1,5,4,2019,19,20,1,2.0,,21.0,1.0,,,,,,,3,3,1,,,5,4,2019,19,12,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,2,2,,50000,6000,2.0,,0.0,,,0,2,-9,,5,4,2019,19,14,,26,4,2,2,4,2811,1,1,2,0,776.2222,776.2222,776.2222,2
658557,172,2,1,1,28,1,1,8,1,29,3,2019,16,4,159,28,1,1,2,,,,,,2018,12,31,4,,41,,70,100,0,0,0,1,70,2,2,2,1,3.0,3.0,3.0,2.0,1994,7,1,1994,10,2,2,,2,,2,,,2,,2,2.0,2,2,1,"Rectification, Mechanical Processing, Milling Of Semi-Finished Products For Third Parties",55,1500000,One Million Five Hundred Thousand,1300000,3,100,0,0,0,0.0,90,10,1,1,2,-4.0,2,2,1,2,,,2,,,2,2,2,80.0,60.0,,,,,,0,30,30,70,30,0,0,0,0,0,-7,2,2,2,1,1,1,,1.0,2017.0,300000.0,2.0,,2,2,1.0,2,1,2,10,2,4,3,1,3,1,2,2,0.0,2,2,0,0,0,2,3,1,2,2,2,1,0,0,2,1,2,2,,8,8,6.0,2.0,5.0,1.0,0.0,0.0,1.0,,0,2,2,2,10,9,5,3,12,1,13,15,2,4,11,8,7,14,6,10,200000,200000.0,-9,30000,,-9.0,-9.0,250000.0,1,1,29,3,2019,17,24,2,,,,,,,,,,,1,2,1,,,29,3,2019,16,43,2,2,,2,2,2,1,2.0,1.0,2.0,1,1.0,2,2.0,1,3.0,1,2.0,2.0,1,2,2,2,1,2,2,1,1,2,1.0,1,1.0,,,2.0,,2,1,1.0,-9,-9,,,-9.0,,,-9,2,1500,,29,3,2019,16,55,,28,4,2,2,4,2892,1,1,2,0,776.2222,776.2222,776.2222,2
658558,191,2,1,4,28,1,4,6,1,5,2,2019,17,48,159,20,1,1,2,,,,,,2018,12,31,3,,3,,100,100,0,0,0,2,100,2,2,2,2,,,,,1980,15,1,1980,45,2,1,"Iso 1090, Iso 9001",2,,2,,,2,,2,2.0,2,0,1,Manufacture Of Steel Drums And Similar Containers For Transport And Packaging,60,360000,Three Hundred Sixty Thousand,250000,1,100,0,0,0,0.0,100,0,1,0,2,0.0,2,1,0,1,Steel Parts For Telephones,Completely New,2,,,2,2,2,100.0,78.0,,,,,,-7,90,95,0,50,0,50,0,0,0,-7,2,2,2,1,1,1,,1.0,2018.0,50000.0,2.0,,1,1,,2,2,1,50,2,3,3,1,3,2,1,2,0.0,2,2,0,0,0,1,2,3,2,2,0,0,0,0,0,0,0,2,,6,6,5.0,1.0,0.0,5.0,0.0,0.0,1.0,,0,2,0,1,1,15,3,14,2,4,10,11,9,13,1,6,7,12,8,5,160000,100000.0,2500,10000,,350000.0,75000.0,1000000.0,1,1,5,2,2019,18,55,1,1.0,,38.0,1.0,,,,,,,2,2,1,,,5,2,2019,18,44,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,1,2,1,2,2,1,2,2,5.0,2,,1.0,,,,2,2,,-9,1000,2.0,,0.0,,,0,2,700,,5,2,2019,18,53,,20,2,2,2,2,2899,4,1,2,0,244.33333,244.33333,244.33333,56
