Name,Gross Export,Code,Sector,Share
"Business","$56,208,334,848","ict","Services","7.4065778793162576%"
"Travel & tourism","$45,949,968,384","travel","Services","6.05483190897845%"
"Transport","$15,244,954,624","transport","Services","2.008829188671761%"
"Insurance & finance","$9,932,990,464","financial","Services","1.3088711424216737%"
"Unspecified","$15,180","unspecified","Services","0.0000020002701114000594%"
"Appliances for thermostatically controlled valves","$8,284,515,791","8481","Machinery","1.091651470629718%"
"Dish washing machines","$6,066,843,145","8422","Machinery","0.7994285252632303%"
"Machines n.e.c.","$5,906,563,585","8479","Machinery","0.7783084716837604%"
"Pumps for liquids","$4,608,478,491","8413","Machinery","0.6072596696032508%"
"Equipment for temperature change of materials","$4,256,328,661","8419","Machinery","0.560856851442275%"
"Transmission shafts","$4,143,284,374","8483","Machinery","0.5459609944890056%"
"Refrigerators, freezers","$4,062,804,799","8418","Machinery","0.5353561928782888%"
"Pumps, compressors, fans, etc.","$3,926,090,700","8414","Machinery","0.5173413624410894%"
"Gas turbines","$3,532,642,439","8411","Machinery","0.46549664591535617%"
"Glasses","$3,444,876,196","9004","Machinery","0.4539316793367808%"
"Parts for use with hoists and excavation machinery","$3,437,055,075","8431","Machinery","0.4529010894438992%"
"Centrifuges","$2,776,577,723","8421","Machinery","0.3658699230102854%"
"Medical instruments","$2,646,290,569","9018","Machinery","0.3487019717556361%"
"Parts suitable for use with spark-ignition engines","$2,452,406,989","8409","Machinery","0.32315391311497454%"
"Other lifting machinery","$2,394,672,782","8428","Machinery","0.31554627091026544%"
"Machinery for working rubber or plastics","$2,273,022,332","8477","Machinery","0.2995163790016115%"
"Compression-ignition internal combustion piston engines","$2,255,554,337","8408","Machinery","0.2972146195612567%"
"Machinery for the industrial preparation of food or drink","$2,099,974,967","8438","Machinery","0.2767139104860623%"
"Air conditioners","$1,918,337,427","8415","Machinery","0.2527795137554804%"
"Fork-lift trucks","$1,798,835,311","8427","Machinery","0.2370327080319058%"
"Harvesting or agricultural machinery","$1,692,183,193","8433","Machinery","0.22297914782420405%"
"Computers","$1,646,955,582","8471","Machinery","0.217019501019637%"
"Sprays and powder dispersers","$1,645,701,198","8424","Machinery","0.21685421071506397%"
"Measuring instruments","$1,601,917,315","9031","Machinery","0.21108480409280195%"
"Parts and accessories for metal working machines","$1,564,455,335","8466","Machinery","0.2061484352582916%"
"Machinery for working minerals","$1,537,325,942","8474","Machinery","0.2025735924415376%"
"Frames for spectacles, goggles","$1,476,258,301","9003","Machinery","0.19452670330675442%"
"Ball or roller bearings","$1,392,732,062","8482","Machinery","0.18352044247741597%"
"Parts and accessories for office machines","$1,322,174,807","8473","Machinery","0.17422310596101723%"
"Machine tools for working wood","$1,274,100,144","8465","Machinery","0.16788830283094278%"
"Ships' derricks; cranes","$1,266,543,076","8426","Machinery","0.16689250722816162%"
"Molding boxes for metal foundry","$1,235,875,312","8480","Machinery","0.16285141291243893%"
"Machine tools for molding and forging metals","$1,219,044,280","8462","Machinery","0.1606335861500135%"
"Machinery for soil preparation or cultivation","$1,100,389,076","8432","Machinery","0.14499837810500188%"
"Other machinery for making paper","$1,085,796,387","8441","Machinery","0.14307549802254754%"
"Central heating boilers","$990,353,178","8403","Machinery","0.13049893686979333%"
"Sports equipment","$970,685,122","9506","Machinery","0.12790727517241898%"
"Other engines and motors","$905,321,897","8412","Machinery","0.11929435650626502%"
"Printers and copiers","$875,340,432","8443","Machinery","0.11534369587810382%"
"Self-propelled bulldozers, excavators and road rollers","$858,097,119","8429","Machinery","0.11307154280725953%"
"Orthopedic appliances","$838,064,377","9021","Machinery","0.11043182639935516%"
"Instruments for measuring electricity","$832,793,895","9030","Machinery","0.10973733446145845%"
"Automatic regulating instruments","$782,508,717","9032","Machinery","0.10311125154974358%"
"Spark-ignition reciprocating internal combustion piston engines","$775,832,132","8407","Machinery","0.1022314772795379%"
"Machine tools for working stone","$761,804,282","8464","Machinery","0.10038302608835192%"
"Machinery for processing fabrics","$759,544,994","8451","Machinery","0.10008531948364542%"
"Metal-rolling mills","$711,314,595","8455","Machinery","0.09372999500534505%"
"Other agricultural machinery","$705,907,090","8436","Machinery","0.09301744753309563%"
"Household- or laundry-type washing machines","$649,149,483","8450","Machinery","0.08553849200762192%"
"Other moving, excavating or boring machinery","$648,553,640","8430","Machinery","0.08545997771618669%"
"Instruments for measuring properties of liquids or gases","$620,618,169","9026","Machinery","0.08177891792111534%"
"Industrial furnaces","$606,420,297","8417","Machinery","0.07990806291406106%"
"X-ray machines","$574,782,105","9022","Machinery","0.07573909520415749%"
"Pulleys and winches","$547,200,363","8425","Machinery","0.07210464631463523%"
"Instruments for physical or chemical analysis","$545,733,617","9027","Machinery","0.07191137304817834%"
"Toys","$459,424,946","9503","Machinery","0.06053847087716641%"
"Other firearms","$441,984,675","9303","Machinery","0.05824036463105198%"
"Machining centers for working metal","$439,326,337","8457","Machinery","0.057890075168113966%"
"Machinery parts, not containing electrical features, n.e.c.","$434,000,111","8485","Machinery","0.05718823783778709%"
"Furnace burners","$413,020,826","8416","Machinery","0.05442379536452994%"
"Gas, liquid or electricity meters","$403,501,138","9028","Machinery","0.053169385128940094%"
"Machinery for making paper","$403,027,228","8439","Machinery","0.053106937961055145%"
"Automatic goods-vending machines","$397,076,468","8476","Machinery","0.0523228057233664%"
"Watches with precious metal","$378,026,497","9101","Machinery","0.04981258914798183%"
